Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Price,Variant Compare At Price,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Weight Unit
tapis-rawdah-premium,Tapis de Prière Rawdah Premium,"<h2>Recréez l'Atmosphère Sacrée de Médine</h2><p>Le Tapis Rawdah Premium capture l'essence spirituelle du jardin sacré de la mosquée du Prophète صلى الله عليه وسلم.</p><ul><li>Velours premium 1200g/m²</li><li>Mousse à mémoire 8mm</li><li>Motifs dorés authentiques</li><li>Dimensions: 110x70cm</li></ul>",Sakinah,Tapis de Prière,"tapis priere,rawdah,medine,premium",TRUE,Size,Standard,SKU-TAP-RAW-001,850,shopify,50,deny,59.99,69.99,https://placeholder.com/tapis-rawdah.jpg,1,Tapis de prière Rawdah Premium,FALSE,Tapis Rawdah Premium - La Sérénité de Médine,Tapis de prière Rawdah Premium inspiré de Médine. Velours doux confortable. Livraison gratuite dès 79€.,"Home & Garden > Decor > Rugs",kg
tapis-enfant-petit-muslimin,Tapis de Prière Enfant Petit Muslimin,"<h2>Éveillez la Spiritualité de Vos Petits</h2><p>Tapis spécialement conçu pour les 3-10 ans avec design ludique et éducatif.</p><ul><li>Taille adaptée: 65x45cm</li><li>Ultra-léger: 320g</li><li>Repères pieds/mains</li><li>Lavable machine</li></ul>",Sakinah,Tapis de Prière,"tapis priere,enfant,enfants,ludique",TRUE,Size,Petit (3-7 ans),SKU-TAP-ENF-001,320,shopify,80,deny,36.99,,https://placeholder.com/tapis-enfant.jpg,1,Tapis enfant Petit Muslimin,FALSE,Tapis Prière Enfant - Petit Muslimin 3-10 ans,Tapis de prière pour enfants 3-10 ans. Design ludique éducatif. Lavable facile. Idéal cadeau naissance Aïd.,"Home & Garden > Decor > Rugs",kg
tapis-groupe-jumuah-family,Tapis de Groupe Rawdah Jumu'ah Family,"<h2>Priez Ensemble Grandissez Ensemble</h2><p>Tapis familial format généreux pour 4-6 personnes.</p><ul><li>Dimensions: 240x140cm</li><li>3 rangées délimitées</li><li>Pliable en 3 sections</li><li>Housse incluse</li><li>Garantie 7 ans</li></ul>",Sakinah,Tapis de Prière,"tapis priere,groupe,famille,jumuah",TRUE,Size,Famille (4-6 pers),SKU-TAP-GRP-001,4200,shopify,20,deny,209.99,229.99,https://placeholder.com/tapis-groupe.jpg,1,Tapis groupe famille Jumu'ah,FALSE,Tapis Groupe Famille - Prière Jumu'ah 4-6 personnes,Tapis de prière groupe familial 240x140cm. Pour 4-6 personnes. Pliable rangement facile. Livraison gratuite.,"Home & Garden > Decor > Rugs",kg
parfum-rawdat-al-madinah,Parfum de Poche Rawdat Al-Madinah 10ml,"<h2>Le Jardin du Prophète صلى الله عليه وسلم dans Votre Poche</h2><p>Parfum halal sans alcool capturant les notes de Médine.</p><ul><li>Format roll-on 10ml</li><li>100% halal sans alcool</li><li>Notes: Oud rose safran</li><li>Tenue 6-8 heures</li><li>Unisexe</li></ul>",Sakinah,Parfum,"parfum,medine,halal,oud,musc",TRUE,Size,10ml,SKU-PAR-RAW-001,50,shopify,150,deny,16.99,,https://placeholder.com/parfum-madinah.jpg,1,Parfum Rawdat Al-Madinah,FALSE,Parfum Halal Médine - Rawdat Al-Madinah 10ml,Parfum de poche halal sans alcool. Notes oud rose Médine. Roll-on 10ml format voyage. Tenue 6-8h.,"Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne",kg
tapis-voyage-compact,Tapis de Prière Voyage Compact,"<h2>Votre Compagnon Spirituel en Déplacement</h2><p>Tapis ultra-compact pour voyages omra déplacements professionnels.</p><ul><li>Pliage ultra-compact</li><li>Poids: 380g</li><li>Housse transport intégrée</li><li>Boussole Qibla offerte</li><li>Imperméable</li></ul>",Sakinah,Tapis de Prière,"tapis priere,voyage,compact,omra",TRUE,Size,Compact,SKU-TAP-VOY-001,380,shopify,60,deny,44.99,,https://placeholder.com/tapis-voyage.jpg,1,Tapis prière voyage compact,FALSE,Tapis Prière Voyage Compact - Omra Déplacements,Tapis prière ultra-compact voyage. 380g léger. Housse transport. Boussole Qibla offerte. Parfait omra.,"Home & Garden > Decor > Rugs",kg
chapelet-tasbih-bois,Chapelet Tasbih Bois de Santal 99 Grains,"<h2>Chapelet Authentique Bois de Santal</h2><p>Tasbih traditionnel 99 grains en bois de santal naturel.</p><ul><li>99 grains bois santal</li><li>Fait main artisanal</li><li>Parfum naturel apaisant</li><li>Compteur intégré</li><li>Pochette velours incluse</li></ul>",Sakinah,Accessoire,"tasbih,chapelet,bois,santal,dhikr",TRUE,Size,Standard,SKU-ACC-TAS-001,45,shopify,100,deny,19.99,,https://placeholder.com/chapelet-tasbih.jpg,1,Chapelet Tasbih bois santal,FALSE,Chapelet Tasbih 99 Grains - Bois de Santal Naturel,Chapelet tasbih 99 grains bois santal naturel. Fait main artisanal. Parfum apaisant. Pochette velours.,"Home & Garden > Decor > Religious Items",kg
boussole-qibla-magnetique,Boussole Qibla Magnétique Premium,"<h2>Trouvez la Direction de la Qibla Partout</h2><p>Boussole précise pour orientation prière.</p><ul><li>Précision ±1°</li><li>Cadran arabe/français</li><li>Format poche</li><li>Boîtier métal doré</li><li>Garantie 2 ans</li></ul>",Sakinah,Accessoire,"boussole,qibla,direction,priere",TRUE,Size,Standard,SKU-ACC-BOU-001,60,shopify,120,deny,14.99,,https://placeholder.com/boussole-qibla.jpg,1,Boussole Qibla magnétique,FALSE,Boussole Qibla Magnétique - Direction Prière Précise,Boussole Qibla précision ±1°. Cadran arabe français. Format poche voyage. Boîtier métal premium.,"Home & Garden > Decor > Religious Items",kg
coffret-cadeau-essentiel,Coffret Cadeau Essentiel Prière,"<h2>Le Coffret Parfait pour Offrir</h2><p>Coffret complet incluant tapis parfum chapelet.</p><ul><li>1 Tapis Rawdah 110x70cm</li><li>1 Parfum 10ml</li><li>1 Chapelet 99 grains</li><li>1 Boussole Qibla</li><li>Écrin luxe</li></ul>",Sakinah,Coffret,"coffret,cadeau,priere,complet",TRUE,Size,Complet,SKU-COF-ESS-001,1200,shopify,30,deny,99.99,119.99,https://placeholder.com/coffret-cadeau.jpg,1,Coffret cadeau prière complet,FALSE,Coffret Cadeau Prière Complet - Tapis Parfum Chapelet,Coffret cadeau musulman complet. Tapis Rawdah + parfum + chapelet + boussole. Écrin luxe. -17%.,"Home & Garden > Decor > Religious Items",kg
parfum-oud-musc-blanc,Parfum Oud & Musc Blanc 15ml,"<h2>Fragrance Orientale Envoûtante</h2><p>Mélange raffiné oud cambodgien musc blanc pur.</p><ul><li>Format 15ml</li><li>100% halal</li><li>Notes: Oud musc ambre</li><li>Tenue 8-10 heures</li><li>Coffret luxe</li></ul>",Sakinah,Parfum,"parfum,oud,musc,oriental,halal",TRUE,Size,15ml,SKU-PAR-OUD-001,70,shopify,80,deny,24.99,,https://placeholder.com/parfum-oud-musc.jpg,1,Parfum Oud Musc Blanc,FALSE,Parfum Oud & Musc Blanc 15ml - Fragrance Halal Orient,Parfum halal Oud & Musc Blanc 15ml. Notes orientales raffinées. Tenue longue 8-10h. Coffret luxe inclus.,"Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne",kg
tapis-velours-classique,Tapis de Prière Velours Classique,"<h2>L'Élégance Intemporelle</h2><p>Tapis velours classique design sobre élégant.</p><ul><li>Velours 1000g/m²</li><li>Design sobre motifs géométriques</li><li>110x70cm</li><li>Plusieurs coloris</li><li>Rapport qualité-prix</li></ul>",Sakinah,Tapis de Prière,"tapis priere,velours,classique,elegant",TRUE,Size,Standard,SKU-TAP-VEL-001,700,shopify,90,deny,49.99,,https://placeholder.com/tapis-velours.jpg,1,Tapis velours classique,FALSE,Tapis Prière Velours Classique - Design Élégant Sobre,Tapis prière velours classique 110x70cm. Design sobre élégant. Excellent rapport qualité-prix 49.99€.,"Home & Garden > Decor > Rugs",kg
